iter	Logloss
0	0.6146795434
1	0.5483582718
2	0.5036939061
3	0.4616795797
4	0.436818603
5	0.4025169708
6	0.3779606335
7	0.36473976
8	0.3491611413
9	0.3373660224
10	0.3289198065
11	0.3219164826
12	0.3124660906
13	0.3063232138
14	0.2889419175
15	0.283231087
16	0.2786879371
17	0.2762334972
18	0.2738747319
19	0.2716065684
20	0.2700604928
21	0.2673494549
22	0.2661918552
23	0.2648167363
24	0.2631457418
25	0.2595511022
26	0.2570960729
27	0.2563109612
28	0.2556483019
29	0.2532034844
30	0.2495175895
31	0.2489393103
32	0.2483892474
33	0.2479484936
34	0.2473334787
35	0.2466261008
36	0.2462764541
37	0.2459767654
38	0.2456781099
39	0.2416429314
40	0.2413574347
41	0.2409705202
42	0.2407293172
43	0.2405407604
44	0.2403697679
45	0.2402005418
46	0.2398331379
47	0.239686737
48	0.2395361842
49	0.2393992499
50	0.2386328569
51	0.2370112983
52	0.2361097695
53	0.2340701098
54	0.2339422906
55	0.2338389896
56	0.2337381941
57	0.2336292809
58	0.2335466032
59	0.2333428774
60	0.2332439429
61	0.2319451126
62	0.2316774553
63	0.2315909326
64	0.2314432651
65	0.2313677143
66	0.2313011945
67	0.2312256142
68	0.2303666428
69	0.2298629748
70	0.2297768478
71	0.2297021722
72	0.2296494922
73	0.22959125
74	0.2295306796
75	0.2284978481
76	0.2284469256
77	0.2283581705
78	0.2282386449
79	0.2281947378
80	0.2281577138
81	0.2278526493
82	0.2275237816
83	0.2274565393
84	0.2274114607
85	0.227374592
86	0.2266728276
87	0.226619639
88	0.2265783981
89	0.2265314623
90	0.2257946573
91	0.2257583913
92	0.2257137995
93	0.2256650729
94	0.2256134236
95	0.2255738569
96	0.2255270934
97	0.2254968868
98	0.225465634
99	0.2254209119
04117138615
96	0.04108138775
97	0.04092220471
98	0.04081610046
99	0.04076527528
