iter	Passed	Remaining
0	282	27970
1	429	21030
2	573	18532
3	709	17026
4	842	16003
5	979	15343
6	1117	14843
7	1255	14442
8	1392	14077
9	1551	13963
10	1710	13837
11	1844	13528
12	1998	13375
13	2168	13321
14	2329	13201
15	2473	12988
16	2613	12761
17	2737	12472
18	2876	12264
19	3016	12067
20	3156	11873
21	3309	11734
22	3444	11529
23	3603	11412
24	3748	11246
25	3894	11084
26	4053	10960
27	4190	10776
28	4331	10603
29	4492	10482
30	4638	10324
31	4777	10151
32	4904	9956
33	5042	9788
34	5179	9619
35	5329	9473
36	5473	9319
37	5597	9132
38	5732	8966
39	5870	8805
40	5986	8614
41	6128	8463
42	6240	8272
43	6367	8103
44	6525	7975
45	6676	7838
46	6841	7714
47	6981	7563
48	7172	7465
49	7280	7280
50	7417	7126
51	7560	6978
52	7683	6813
53	7805	6649
54	7967	6518
55	8096	6361
56	8214	6196
57	8285	5999
58	8345	5799
59	8418	5612
60	8475	5418
61	8551	5241
62	8625	5065
63	8679	4882
64	8739	4706
65	8792	4529
66	8843	4355
67	8894	4185
68	8955	4023
69	9019	3865
70	9069	3704
71	9128	3549
72	9188	3398
73	9239	3246
74	9301	3100
75	9361	2956
76	9423	2814
77	9473	2672
78	9534	2534
79	9596	2399
80	9652	2264
81	9715	2132
82	9762	1999
83	9796	1866
84	9838	1736
85	9877	1607
86	9916	1481
87	9947	1356
88	9987	1234
89	10027	1114
90	10069	995
91	10131	880
92	10163	765
93	10192	650
94	10227	538
95	10260	427
96	10296	318
97	10348	211
98	10385	104
99	10421	0
